circuitId,capacity,opened_year,length,turns
1,"~125,000 (44,000 seating)[1][2]",20 November 1953; 72 years ago(1953-11-20)Re-opened: 7 March 1996; 29 years ago(1996-03-07),5.027 km (3.124 mi),9
2,"130,000",7 March 1999; 26 years ago(1999-03-07),2.609 km (1.621 mi),8
3,"70,000",17 March 2004; 21 years ago(2004-03-17),5.417 km (3.366 mi),15
4,"140,700",10 September 1991; 34 years ago(1991-09-10),4.747 km (2.950 mi),14
5,"125,000",19 August 2005; 20 years ago(2005-08-19),1.346 km (0.836 mi),14
6,"37,000",14 April 1929; 96 years ago(1929-04-14),3.180 km (1.976 mi),14
7,"100,000",6 October 1978; 47 years ago(1978-10-06),4.410 km (2.740 mi),19
8,"139,112",7 August 1960; 65 years ago(1960-08-07),1.995 km (1.240 mi),5
9,"164,000",1948,5.907 km (3.670 mi),17
10,"70,000[1]",29 May 1932; 93 years ago(1932-05-29),12.045 km (7.484 mi),9
11,"70,000",24 March 1986; 39 years ago(1986-03-24),4.014 km (2.494 mi),16
12,,26 July 2008; 17 years ago(2008-07-26),5.419 km (3.367 mi),25
13,"70,000",August 1921; 104 years ago(1921-08),14.982 km (9.309 mi),25
14,"118,865[2]",3 September 1922; 103 years ago(1922-09-03),10.000 km (6.214 mi),9
15,">90,000",31 August 2008; 17 years ago(2008-08-31),5.073 km (3.152 mi),23
16,"110,000",December 1965; 60 years ago(1965-12)Re-opened: April 2005; 20 years ago(2005-04),5.999 km (3.728 mi),15
17,"200,000",6 June 2004; 21 years ago(2004-06-06),3.051 km (1.896 mi),12
18,"60,000",12 May 1940; 85 years ago(1940-05-12),7.960 km (4.946 mi),26
19,"257,325 (permanent seats) – 400,000 grand total[1]","August 14, 1909; 116 years ago(August 14, 1909)",2.605 mi (4.192 km),13
20,"150,000",,28.265 km (17.563 mi),187
21,"78,000[1]",25 April 1953; 72 years ago(1953-04-25),5.018 km (3.118 mi),12
22,"155,000",September 1962; 63 years ago(1962-09),6.004 km (3.731 mi),17
80,,,,
24,"60,000",October 2009; 16 years ago(2009-10),2.360 km (1.466 mi),12
25,"45,000",9 March 1952; 73 years ago(1952-03-09),4.706 km (2.924 mi),16
26,"125,000",8 December 1985; 40 years ago(1985-12-08),4.218 km (2.621 mi),16
27,"45,000",17 June 1972; 53 years ago(1972-06-17),2.942 km (1.828 mi),8
28,,18 November 1990; 35 years ago(1990-11-18),1.956 km (1.215 mi),8
29,,31 October 1985; 40 years ago(1985-10-31)Re-opened in 8 April 1999; 26 years ago(1999-04-08),3.780 km (2.349 mi),16
30,"100,000",4 November 1961; 64 years ago(1961-11-04),4.094 km (2.544 mi),9
31,"120,000",1931(re-opened 1977),3.518 km (2.186 mi),13
32,"110,000",20 November 1959; 66 years ago(1959-11-20),3.991 km (2.480 mi),10
33,"40,000","June 2, 1989; 36 years ago(1989-06-02)",2.361 mi (3.800 km),15
34,"90,000",19 April 1970; 55 years ago(1970-04-19),3.263 km (2.028 mi),9
35,"135,000",11 October 2010; 15 years ago(2010-10-11),3.312 km (2.058 mi),13
36,"90,000",27 January 1978; 47 years ago(1978-01-27),5.031 km (3.126 mi),11
37,,"June 4, 1982; 43 years ago(1982-06-04)Re-opened: June 2, 2023; 2 years ago(2023-06-02)",2.590 mi (4.168 km),24
38,,1950,1.609 km (1.000 mi),4
39,"105,000",7 August 1948; 77 years ago(1948-08-07)[2],4.193 km (2.605 mi),19
40,,19 June 1963; 62 years ago(1963-06-19),4.186 km (2.601 mi),12
41,,26 May 1972; 53 years ago(1972-05-26),3.289 km (2.044 mi),8
42,,,,
43,,,,
44,"100,000","November 16, 2023; 2 years ago(2023-11-16)",3.853 mi (6.201 km),17
