constructorId,championships,race_wins,pole_positions,fastest_laps
1,10,203,177,183
2,0,1,1,2
3,9,114,128,134
4,2,35,51,33
5,,1,1,1
6,16,,254,
8,0,0,0,0
9,6,130,111,102
10,,,,0
11,0,3,2,2
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,,,
16,,,2,0
17,0,4,2,2
18,,,,0
19,,,,
20,,,0,0
21,0,0,1,0
22,1,27,15,36
23,1,8,5,4
24,0,1,1,0
25,1,9,2,9
26,0,0,0,0
27,,,,
28,0,,,
29,0,0,0,0
30,0,,,0
31,0,0,0,0
32,,74,102,65
33,,0,0,0
34,2,35,40,
35,,,,
36,0,0,0,0
37,0,2,2,4
38,0,0,0,0
39,0,,,0
40,0,0,0,0
41,0,,,0
42,,,,
44,0,,,0
45,,,,0
46,0,0,0,0
47,0,0,0,0
48,,,0,0
49,,,,
50,,,0,0
51,0,10,12,16
52,0,0,0,0
53,,,1,2
54,0,,,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,1
58,0,1,3,2
59,,3,1,2
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
64,0,1,0,1
65,0,0,0,0
66,1,17,11,15
67,,,,
68,,0,0,0
69,,0,0,0
70,0,0,0,0
71,,0,0,0
72,,0,0,
73,,,,1
74,,0,0,0
75,,0,0,0
76,0,0,0,0
77,0,,,
78,,0,0,0
79,,0,0,0
80,0,0,0,1
82,,,,
83,0,0,0,1
84,,0,0,0
85,,,,
86,,,,
87,2,16,11,14
88,0,1,0,2
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,,0,0,2
96,0,0,0,0
99,0,0,0,0
100,,0,0,0
103,,,,
104,0,0,0,0
105,,,,
107,,,,
112,,,,
113,,,,
114,,,,
116,,,,
117,0,0,0,3
118,1,9,7,6
119,,,,
122,,,,
124,0,0,0,0
125,0,0,0,0
126,,0,0,0
127,,,,
128,,,,
129,,,,
130,,,,
131,8,131,143,115
132,0,0,2,1
133,,0,0,0
134,,,,
137,0,0,0,0
140,0,0,0,0
141,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,0,0,0,0
150,,,,
152,,,,
153,,,,
154,,,,
156,,,,
158,,,,
162,,,,
163,0,0,0,0
164,0,0,0,0
167,2,16,11,14
166,0,0,0,0
168,2,16,11,14
169,2,16,11,14
170,2,16,11,14
171,2,16,11,14
172,,74,102,65
173,,74,102,65
174,,,,
175,,,,
176,,74,102,65
177,,74,102,65
178,2,16,11,14
179,,,,
180,,74,102,65
181,2,35,40,
182,2,35,40,
183,2,35,40,
184,0,0,0,0
185,0,0,0,0
186,2,16,11,14
187,10,203,177,183
188,10,203,177,183
189,0,1,0,2
190,0,1,0,2
191,2,35,40,
192,2,16,11,14
193,2,16,11,14
194,10,203,177,183
195,2,16,11,14
196,,,,
197,1,17,11,15
198,10,203,177,183
199,0,2,2,4
200,0,2,2,4
201,,74,102,65
202,0,1,3,2
203,0,1,3,2
204,2,35,40,
206,0,0,0,0
207,0,0,0,0
208,,2,0,5
209,,,,
210,0,0,1,3
211,0,1,1,0
213,,1,,2
214,0,1,0,1
215,,0,0,1
